########  2026/01/15    市盈动    总市值
688577    #浙海德曼     238.46    98.20亿
300841    #康华生物     38.91     98.11亿
600657    #信达地产     -1.39     98.10亿
000990    #诚志股份     71.01     98.07亿
920599    #同力股份     13.74     98.06亿
688227    #品高股份     -223.74   97.96亿
002892    #科力尔       162.09    97.95亿
688656    #浩欧博       280.41    97.92亿
601579    #会稽山       63.12     97.86亿
300382    #斯莱克       501.50    97.84亿
688221    #前沿生物-U   -45.88    97.77亿
002100    #天康生物     17.81     97.75亿
688611    #杭州柯林     12118.43  97.71亿
688108    #赛诺医疗     346.94    97.69亿
920576    #天力复合     325.84    97.62亿
002664    #信质集团     60.22     97.56亿
300134    #大富科技     -43.13    97.55亿
603219    #富佳股份     62.45     97.52亿
300722    #新余国科     151.76    97.50亿
603416    #信捷电气     40.56     97.43亿
600935    #华塑股份     -60.94    97.42亿
688562    #航天软件     -71.21    97.40亿
300984    #金沃股份     195.56    97.37亿
600955    #维远股份     -40.66    97.24亿
600335    #国机汽车     20.20     97.23亿
300093    #*ST金刚      -18.19    97.20亿
002645    #华宏科技     37.08     97.15亿
002970    #锐明技术     26.57     97.07亿
002960    #青鸟消防     30.53     96.90亿
688596    #正帆科技     101.82    96.80亿
603279    #景津装备     16.67     96.77亿
605008    #长鸿高科     451.89    96.77亿
300143    #盈康生命     83.50     96.68亿
600812    #华北制药     45.71     96.60亿
002533    #金杯电工     15.60     96.51亿
600375    #汉马科技     178.13    96.50亿
301047    #义翘神州     65.63     96.41亿
600789    #鲁抗医药     51.19     96.37亿
300047    #天源迪科     187.10    96.30亿
600698    #湖南天雁     5591.79   96.28亿
688750    #金天钛业     152.23    96.25亿
300451    #创业慧康     -59.03    96.20亿
000541    #佛山照明     51.14     96.14亿
002553    #南方精工     19.66     96.09亿
000690    #宝新能源     8.77      95.96亿
605133    #嵘泰股份     48.55     95.92亿
301369    #联动科技     497.40    95.88亿
601678    #滨化股份     37.38     95.85亿
300443    #金雷股份     23.57     95.85亿
300341    #麦克奥迪     49.87     95.82亿
001896    #豫能控股     24.98     95.82亿
000905    #厦门港务     36.68     95.77亿
600020    #中原高速     7.47      95.74亿
002194    #武汉凡谷     -700.75   95.66亿
000498    #山东路桥     5.09      95.63亿
601908    #京运通       -31.54    95.62亿
688202    #美迪西       -240.94   95.36亿
603977    #国泰集团     37.64     95.36亿
601686    #友发集团     14.26     95.33亿
301196    #唯科科技     32.18     95.32亿
002467    #二六三       94.28     95.31亿
603181    #皇马科技     21.19     95.31亿
688639    #华恒生物     42.62     95.24亿
301408    #华人健康     45.58     95.24亿
600676    #交运股份     -248.18   95.24亿
300226    #上海钢联     42.63     95.23亿
300302    #同有科技     768.99    95.23亿
600874    #创业环保     10.17     95.17亿
300421    #力星股份     138.17    95.15亿
688648    #中邮科技     10.60     95.06亿
600477    #杭萧钢构     47.88     95.00亿
301000    #肇民科技     66.21     94.87亿
300465    #高伟达       333.16    94.83亿
300809    #华辰装备     164.06    94.75亿
000036    #华联控股     198.87    94.62亿
688209    #英集芯       61.91     94.48亿
600650    #锦江在线     77.66     94.44亿
002052    #同洲电子     30.54     94.43亿
600117    #西宁特钢     -12.60    94.40亿
605168    #三人行       48.98     94.34亿
300533    #冰川网络     14.08     94.25亿
603203    #快克智能     35.62     94.24亿
688636    #智明达       86.19     94.22亿
603075    #热威股份     28.67     94.14亿
300256    #星星科技     -1247.37  94.14亿
002761    #浙江建投     46.78     94.12亿
002501    #利源股份     -79.79    94.08亿
688230    #芯导科技     95.82     94.07亿
301631    #壹连科技     31.89     94.05亿
600997    #开滦股份     38.11     94.00亿
603713    #密尔克卫     13.42     93.91亿
000030    #富奥股份     16.01     93.90亿
300080    #易成新能     -26.56    93.86亿
688196    #卓越新能     42.05     93.85亿
000510    #新金路       -89.54    93.71亿
301381    #赛维时代     33.47     93.60亿
603118    #共进股份     81.29     93.53亿
600017    #日照港       13.36     93.50亿
605060    #联德股份     39.42     93.45亿
600510    #黑牡丹       109.69    93.30亿
002125    #湘潭电化     44.47     93.29亿
002635    #安洁科技     69.55     93.21亿
600397    #江钨装备     -22.75    93.06亿
300975    #商络电子     49.31     92.95亿
300222    #科大智能     97.35     92.93亿
002332    #仙琚制药     17.13     92.89亿
603002    #宏昌电子     284.15    92.88亿
600075    #新疆天业     969.57    92.88亿
000928    #中钢国际     12.53     92.82亿
300119    #瑞普生物     19.21     92.81亿
300416    #苏试试验     44.38     92.81亿
002777    #久远银海     162.64    92.79亿
920493    #并行科技     826.56    92.66亿
301687    #新广益       68.58     92.63亿
300663    #科蓝软件     -658.00   92.58亿
603131    #上海沪工     -3518.52  92.57亿
600715    #文投控股     1887.68   92.56亿
300087    #荃银高科     -38.56    92.55亿
301215    #中汽股份     43.40     92.54亿
688252    #天德钰       35.52     92.44亿
301101    #明月镜片     46.48     92.39亿
001298    #好上好       140.86    92.30亿
002346    #柘中股份     19.65     92.29亿
301603    #乔锋智能     25.00     92.22亿
600929    #雪天盐业     211.87    92.17亿
301500    #飞南资源     34.51     92.16亿
300918    #南山智尚     58.85     92.07亿
002077    #大港股份     114.14    92.04亿
301458    #钧崴电子     60.42     91.97亿
000735    #罗牛山       2462.01   91.89亿
301117    #佳缘科技     -720.09   91.84亿
603477    #巨星农牧     64.20     91.76亿
003040    #楚天龙       -156.45   91.72亿
002383    #合众思壮     876.93    91.66亿
300360    #炬华科技     14.25     91.17亿
688515    #裕太微-U     -53.62    91.16亿
300863    #卡倍亿       49.70     91.13亿
688275    #万润新能     -19.41    91.11亿
600053    #九鼎投资     -136.75   91.04亿
688505    #复旦张江     -428.31   91.01亿
603227    #雪峰科技     17.34     90.99亿
002540    #亚太科技     23.17     90.96亿
300579    #数字认证     -59.52    90.80亿
300046    #台基股份     120.08    90.76亿
003041    #真爱美家     29.52     90.66亿
601133    #柏诚股份     51.11     90.61亿
300581    #晨曦航空     -155.21   90.60亿
002029    #七匹狼       16.84     90.45亿
601339    #百隆东方     12.34     90.42亿
688553    #汇宇制药-W   -133.38   90.35亿
688119    #中钢洛耐     298.73    90.34亿
301256    #华融化学     127.58    90.34亿
301153    #中科江南     -105.36   90.26亿
000767    #晋控电力     21.44     90.15亿
603887    #城地香江     2369.17   90.12亿
003006    #百亚股份     27.60     90.01亿
300702    #天宇股份     30.55     89.99亿
603969    #银龙股份     24.70     89.94亿
301566    #达利凯普     53.32     89.80亿
300401    #花园生物     28.77     89.78亿
600724    #宁波富达     39.82     89.75亿
002612    #朗姿股份     6.80      89.68亿
600771    #广誉远       85.21     89.63亿
688710    #益诺思       -454.45   89.61亿
301339    #通行宝       39.95     89.55亿
002030    #达安基因     -47.46    89.54亿
301175    #中科环保     22.49     89.49亿
002707    #众信旅游     99.97     89.33亿
300709    #精研科技     44.41     89.26亿
301246    #宏源药业     -6083.77  89.24亿
300695    #兆丰股份     22.11     89.24亿
603567    #珍宝岛       -17.93    89.21亿
600496    #精工钢构     11.34     89.16亿
600123    #兰花科创     635.81    89.13亿
000885    #城发环境     7.32      89.12亿
600851    #海欣股份     46.40     89.08亿
301608    #博实结       36.94     88.90亿
002298    #中电鑫龙     244.53    88.89亿
300976    #达瑞电子     28.84     88.84亿
002819    #东方中科     -81.07    88.83亿
600305    #恒顺醋业     46.96     88.74亿
300291    #百纳千成     -98.53    88.73亿
688105    #诺唯赞       1005.58   88.69亿
688583    #思看科技     84.09     88.67亿
600664    #哈药股份     20.23     88.65亿
300708    #聚灿光电     38.38     88.54亿
600826    #兰生股份     36.64     88.48亿
920037    #广信科技     44.25     88.48亿
000059    #华锦股份     -4.76     88.45亿
600643    #爱建集团     35.32     88.42亿
002649    #博彦科技     36.20     88.39亿
300145    #南方泵业     23.32     88.36亿
300696    #爱乐达       141.74    88.36亿
603053    #成都燃气     15.92     88.36亿
000566    #海南海药     -27.35    88.35亿
600508    #上海能源     25.96     88.32亿
605555    #德昌股份     40.89     88.29亿
688488    #艾迪药业     -967.91   88.28亿
600172    #黄河旋风     -12.66    88.26亿
301592    #六九一二     -294.09   88.23亿
002219    #新里程       -171.71   88.07亿
002721    #金一文化     -174.57   88.03亿
002803    #吉宏股份     30.60     87.96亿
688575    #亚辉龙       109.08    87.88亿
300019    #硅宝科技     28.77     87.86亿
600103    #青山纸业     101.37    87.84亿
002309    #中利集团     -46.93    87.82亿
600917    #重庆燃气     47.05     87.73亿
600846    #同济科技     39.96     87.72亿
002169    #智光电气     -128.25   87.66亿
002210    #飞马国际     458.12    87.55亿
002832    #比音勒芬     10.59     87.49亿
688539    #高华科技     126.11    87.42亿
300278    #华昌达       550.02    87.38亿
300685    #艾德生物     24.95     87.31亿
300123    #亚光科技     -66.19    87.26亿
002697    #红旗连锁     17.09     87.18亿
600966    #博汇纸业     53.82     87.16亿
002530    #金财互联     113.58    87.11亿
