########  2026/01/15    市盈动    总市值
300919    #中伟新材     39.12     580.4亿
688469    #芯联集成-U   -93.82    579.2亿
000002    #万科Ａ       -1.55     578.6亿
600027    #华电国际     6.72      577.1亿
001309    #德明利       -1596.13  576.2亿
601059    #信达证券     31.89     575.6亿
688009    #中国通号     18.74     570.8亿
600482    #中国动力     35.21     567.0亿
300223    #北京君正     166.16    566.6亿
000831    #中国稀土     220.32    564.6亿
300765    #新诺威       -1759.18  564.1亿
300115    #长盈精密     90.30     563.4亿
300866    #安克创新     21.84     562.9亿
601021    #春秋航空     17.91     557.7亿
601456    #国联民生     23.49     552.2亿
688303    #大全能源     -37.93    542.7亿
300347    #泰格医药     39.72     540.4亿
601298    #青岛港       9.69      540.1亿
002851    #麦格米特     190.19    539.2亿
600711    #盛屯矿业     23.69     537.5亿
600601    #方正科技     127.16    536.8亿
002812    #恩捷股份     -461.42   531.1亿
601212    #白银有色     -185.06   530.2亿
688777    #中控技术     91.84     528.5亿
688110    #东芯股份     -271.14   528.5亿
000066    #中国长城     2462.01   527.4亿
688702    #盛科通信-U   4220.68   527.3亿
300255    #常山药业     -881.59   526.8亿
601611    #中国核建     35.69     526.5亿
002422    #科伦药业     32.64     522.6亿
600918    #中泰证券     30.11     521.8亿
600515    #海南机场     607.21    521.0亿
300251    #光线传媒     16.70     520.1亿
000039    #中集集团     24.88     519.3亿
600143    #金发科技     36.55     518.8亿
601136    #首创证券     48.31     517.7亿
300413    #芒果超媒     38.08     515.8亿
601777    #千里科技     723.61    514.0亿
000981    #山子高科     87.55     509.9亿
300395    #菲利华       114.38    508.9亿
601058    #赛轮轮胎     13.24     507.0亿
300316    #晶盛机电     42.05     505.2亿
300748    #金力永磁     73.48     505.0亿
301236    #软通动力     382.34    504.1亿
688809    #强一股份     151.29    503.9亿
688629    #华丰科技     169.36    503.7亿
601878    #浙商证券     19.93     502.7亿
600637    #东方明珠     69.36     500.9亿
603516    #淳中科技     -1282.66  500.0亿
002945    #华林证券     84.72     497.1亿
600801    #华新建材     18.60     496.9亿
600839    #四川长虹     36.76     493.9亿
600061    #国投资本     12.94     492.3亿
600460    #士兰微       105.30    490.1亿
000987    #越秀资本     12.16     488.2亿
000893    #亚钾国际     26.78     486.7亿
300757    #罗博特科     -487.97   486.3亿
600745    #闻泰科技     23.94     483.2亿
603979    #金诚信       20.60     481.5亿
688002    #睿创微纳     51.03     480.9亿
001872    #招商港口     9.47      480.5亿
000547    #航天发展     -73.67    480.2亿
601117    #中国化学     8.51      480.0亿
000783    #长江证券     10.61     477.2亿
688019    #安集科技     58.65     475.7亿
000999    #华润三九     15.16     475.6亿
603486    #科沃斯       25.14     475.3亿
603049    #中策橡胶     10.14     475.2亿
688172    #燕东微       -2654.33  474.3亿
002601    #龙佰集团     21.19     473.0亿
600885    #宏发股份     24.10     472.3亿
688778    #厦钨新能     64.00     471.2亿
600536    #中国软件     -337.11   467.6亿
600733    #北汽蓝谷     -10.24    467.6亿
300122    #智飞生物     -28.90    464.9亿
300628    #亿联网络     17.80     464.6亿
688615    #合合信息     99.05     463.7亿
600350    #山东高速     13.28     463.6亿
600699    #均胜电子     30.99     462.9亿
603179    #新泉股份     55.74     462.7亿
688188    #柏楚电子     38.26     461.3亿
688411    #海博思创     55.56     461.2亿
301358    #湖南裕能     53.58     460.9亿
300207    #欣旺达       24.59     460.8亿
601216    #君正集团     12.35     460.7亿
002008    #大族激光     40.00     460.4亿
300339    #润和软件     439.32    460.2亿
000878    #云南铜业     22.22     459.6亿
603568    #伟明环保     16.11     458.7亿
002340    #格林美       30.94     457.3亿
300832    #新产业       28.45     457.1亿
300456    #赛微电子     21.72     456.4亿
600497    #驰宏锌锗     25.79     455.1亿
601233    #桐昆股份     21.90     452.1亿
002444    #巨星科技     15.71     451.5亿
600871    #石化油服     50.57     451.2亿
601555    #东吴证券     11.52     450.7亿
300896    #爱美客       30.89     450.3亿
600378    #昊华科技     27.42     450.2亿
600685    #中船防务     51.43     449.2亿
688234    #天岳先进     30072.81  449.0亿
688578    #艾力斯       20.84     449.0亿
600141    #兴发集团     25.39     446.3亿
601615    #明阳智能     43.59     445.1亿
002261    #拓维信息     318.20    444.8亿
603083    #剑桥科技     128.36    443.8亿
300390    #天华新能     1012.35   443.6亿
601198    #东兴证券     20.77     442.8亿
688599    #天合光能     -7.90     442.5亿
300054    #鼎龙股份     63.85     442.2亿
601933    #永辉超市     -46.70    442.0亿
000021    #深科技       43.83     441.6亿
688676    #金盘科技     68.17     441.4亿
300661    #圣邦股份     96.41     441.2亿
002409    #雅克科技     41.55     441.1亿
000564    #供销大集     456.72    440.6亿
002153    #石基信息     1561.31   440.5亿
001203    #大中矿业     55.53     439.7亿
603369    #今世缘       12.82     435.9亿
000786    #北新建材     12.63     435.4亿
300346    #南大光电     108.14    433.7亿
002850    #科达利       27.45     433.6亿
603087    #甘李药业     39.72     433.3亿
601717    #中创智领     8.91      432.8亿
600995    #南网储能     22.63     432.4亿
600085    #同仁堂       27.46     431.2亿
601162    #天风证券     211.18    431.2亿
002078    #太阳纸业     12.90     430.1亿
300782    #卓胜微       -188.00   428.0亿
002223    #鱼跃医疗     21.89     427.9亿
002252    #上海莱士     21.63     424.2亿
301550    #斯菱智驱     227.16    423.5亿
601598    #中国外运     11.85     423.3亿
688608    #恒玄科技     63.06     421.7亿
688037    #芯源微       -3146.40  421.6亿
601399    #国机重装     71.91     418.4亿
688728    #格科微       623.74    417.4亿
600392    #盛和资源     39.69     416.8亿
603606    #东方电缆     34.15     416.1亿
300037    #新宙邦       41.72     416.1亿
688065    #凯赛生物     69.16     415.6亿
603699    #纽威股份     27.69     411.2亿
601108    #财通证券     15.11     410.5亿
600663    #陆家嘴       28.99     410.4亿
600332    #白云山       9.27      409.2亿
000661    #长春高新     26.29     408.3亿
601106    #中国一重     -388.70   407.4亿
002939    #长城证券     15.81     407.1亿
603920    #世运电路     48.73     406.2亿
300724    #捷佳伟创     11.33     406.0亿
603129    #春风动力     21.51     405.9亿
688169    #石头科技     29.25     404.7亿
603156    #养元饮品     27.11     404.5亿
000876    #新希望       39.90     404.3亿
603119    #浙江荣泰     149.14    404.2亿
002683    #广东宏大     46.38     404.1亿
600968    #海油发展     10.58     402.5亿
000959    #首钢股份     31.60     401.7亿
600562    #国睿科技     80.51     399.9亿
600105    #永鼎股份     90.93     399.0亿
600295    #鄂尔多斯     17.50     398.3亿
688220    #翱捷科技-U   -90.93    397.0亿
601696    #中银证券     34.81     396.4亿
688313    #仕佳光子     98.89     395.2亿
002429    #兆驰股份     29.53     393.8亿
601236    #红塔证券     34.01     392.0亿
300474    #景嘉微       -405.29   392.0亿
688099    #晶晨股份     42.05     391.3亿
600642    #申能股份     8.84      390.5亿
600298    #安琪酵母     26.18     389.7亿
688270    #臻镭科技     280.98    388.7亿
002185    #华天科技     53.69     388.5亿
688428    #诺诚健华-U   -452.22   388.4亿
300548    #长芯博创     116.49    388.2亿
000983    #山西焦煤     20.28     387.7亿
300496    #中科创达     126.95    387.7亿
689009    #九号公司-WD  16.25     387.1亿
002436    #兴森科技     220.55    386.7亿
000932    #华菱钢铁     11.54     386.2亿
000877    #天山股份     -24.53    386.1亿
002407    #多氟多       370.83    385.9亿
688180    #君实生物-U   -48.43    384.7亿
000703    #恒逸石化     124.76    384.4亿
002821    #凯莱英       35.99     384.0亿
301171    #易点天下     141.37    383.7亿
603160    #汇顶科技     42.35     382.0亿
002459    #晶澳科技     -8.06     381.9亿
