#code#####  #name                        #start      #base    #number
#                                                             
#           #基指                                             
0950242     #上证0-5年央企债             2013-12-31  100      244
0950243     #沪做市国债                  2022-06-30  100      24
0950245     #沪做市公司债                2022-06-30  100      424
0950246     #上证国企债                  2013-12-31  100      6518
0950247     #上证0-3国企债               2013-12-31  100      3839
0950248     #上证0-5国企债               2013-12-31  100      5689
0950249     #上证AAA国企债               2016-12-30  100      2152
0950250     #上证短期AAA国企债           2016-12-30  100      437
0950251     #上证0-3AAA国企债            2016-12-30  100      1191
0950252     #上证0-5AAA国企债            2016-12-30  100      1658
0950257     #上证信用                    2007-12-31  100      6810
0950265     #沪地企债                    2013-12-31  100      4885
0950266     #沪0-3地企债                 2013-12-31  100      2823
0950267     #沪0-5地企债                 2013-12-31  100      4332
0950268     #沪AAA地企债                 2016-12-30  100      1063
0950269     #沪短期AAA地企债             2016-12-30  100      213
0950270     #沪0-3AAA地企债              2016-12-30  100      585
0950271     #沪0-5AAA地企债              2016-12-30  100      830
0950272     #沪能源信用债                2016-12-30  100      179
0950273     #沪原材料信用债              2016-12-30  100      272
0950275     #沪工业信用债                2016-12-30  100      1129
0950276     #沪可选消费信用债            2016-12-30  100      48
0950277     #沪主要消费信用债            2016-12-30  100      61
0950278     #沪医药卫生信用债            2016-12-30  100      57
0950279     #沪信息技术信用债            2016-12-30  100      65
0950280     #沪通信服务信用债            2016-12-30  100      15
0950281     #沪公用事业信用债            2016-12-30  100      474
0950282     #沪房地产信用债              2016-12-30  100      342
0950285     #沪高等级担保机构增信产业债  2017-12-29  100      12
0950286     #沪高等级增信产业债          2017-12-29  100      58
0950287     #沪0-3高等级增信产业债       2017-12-29  100      29
0950288     #沪0-5高等级增信产业债       2017-12-29  100      46
0950289     #沪AAA增信产业债             2017-12-29  100      53
0950290     #沪0-3AAA增信产业债          2017-12-29  100      
0950291     #沪0-5AAA增信产业债          2017-12-29  100      
0950292     #沪投资级公司信用债          2017-12-29  100      1848
0950293     #沪投资级公司AAA信用债       2017-12-29  100      1468
0950295     #沪短期投资级公司AAA信用债   2017-12-29  100      258
0950296     #沪0-3投资级公司AAA信用债    2017-12-29  100      799
0950297     #沪0-5投资级公司AAA信用债    2017-12-29  100      1200
0950298     #沪投资级公司产业债          2017-12-29  100      1151
0950299     #沪投资级公司AAA产业债       2017-12-29  100      1000
0950300     #沪短期投资级公司AAA产业债   2017-12-29  100      177
0950301     #沪0-3投资级公司AAA产业债    2017-12-29  100      555
0950302     #沪0-5投资级公司AAA产业债    2017-12-29  100      827
0950305     #沪7-20年国债                2007-12-31  100      46
0950306     #沪7-30年国债                2007-12-31  100      70
0950307     #沪7-50年国债                2007-12-31  100      98
0950308     #沪17-30年国债               2007-12-31  100      34
0950309     #沪17-50年国债               2007-12-31  100      62
0950310     #沪27-50年国债               2007-12-31  100      37
0950311     #上证地债                    2013-12-31  100      13363
0950312     #上证一般地债                2015-12-31  100      2695
0950313     #上证专项地债                2015-12-31  100      10668
0950315     #沪0-3高等级信用票息策略     2016-12-30  100      293
0950316     #沪0-3中高信用票息策略       2016-12-30  100      264
0950317     #沪0-5高等级信用票息策略     2016-12-30  100      504
0950318     #沪0-5中高信用票息策略       2016-12-30  100      444
0950319     #沪2027信用债                2018-12-28  100      423
0950320     #沪2028信用债                2018-12-28  100      458
0950321     #沪2029信用债                2018-12-28  100      237
0950322     #沪2030信用债                2018-12-28  100      253
0950323     #沪2031信用债                2018-12-28  100      60
0950325     #沪2032信用债                2022-12-30  100      49
0950326     #沪2027国债及政金债          2018-12-28  100      22
0950327     #沪2028国债及政金债          2018-12-28  100      17
0950328     #沪2029国债及政金债          2018-12-28  100      12
0950329     #沪2030国债及政金债          2018-12-28  100      13
0950330     #沪2031国债及政金债          2018-12-28  100      6
0950331     #沪2032国债及政金债          2018-12-28  100      10
0950335     #上证融资租赁ABS             2019-12-31  100      -
0950336     #上证应收账款ABS             2019-12-31  100      -
0950337     #上证消费金融ABS             2019-12-31  100      -
0950338     #上证小微贷款ABS             2019-12-31  100      -
0950339     #上证供应链金融ABS           2019-12-31  100      -
0950340     #上证180债券                 2017-12-29  100      786
0950341     #上证180AAA债券              2017-12-29  100      739
0950342     #上证180AAA0-3债券           2017-12-29  100      520
0950343     #上证180AAA0-5债券           2017-12-29  100      654
0950358     #上证工业转债及可交换债      2019-12-31  100      23
0950359     #上证原材料转债及可交换债    2021-12-31  100      14
0950360     #上证可选消费转债及可交换债  2019-12-31  100      16
0950365     #沪AAA转债及可交换债         2016-12-30  100      16
0950366     #沪中高等级转债及可交换债    2016-12-30  100      91
0950367     #沪高等级转债及可交换债      2016-12-30  100      33
0950368     #上证国企绿债                2016-12-30  100      255
0950369     #上证AAA国企绿债             2016-12-30  100      112
0950370     #上证高等级国企绿债          2016-12-30  100      184
0950375     #沪做市地方债                2024-06-28  100      25
0950376     #沪做市利率债                2022-06-30  100      50
0950377     #沪0-5做市利率债             2022-06-30  100      12
0950378     #沪5+做市利率债              2022-06-30  100      38
0950379     #沪0-3做市公司债             2022-06-30  100      220
0950380     #沪0-5做市公司债             2022-06-30  100      353
0950381     #沪5+做市公司债              2022-06-30  100      71
0950382     #沪做市科创债                2023-06-30  100      325
0950383     #沪0-5做市科创债             2023-06-30  100      273
#                                                             
#           #其他指数                                         
0950346     #上证红利股债RP              2017-06-30  1000     -
0950347     #上证红利股债10/90           2017-06-30  1000     -
0950348     #上证红利股债20/80           2017-06-30  1000     -
0950349     #上证红利股债30/70           2017-06-30  1000     -
0950350     #上证红利股债稳健配置10%     2017-06-30  1000     -
0950351     #上证红利股债稳健配置20%     2017-06-30  1000     -
0950352     #上证红利股债稳健配置30%     2017-06-30  1000     -
#                                                             
#           #定制指数                                         
0000091     #沪财中小                    2004-12-31  1000     200
0950048     #G60综指                     2016-05-24  1000     324
0950049     #G60成指                     2016-05-24  1000     50
0950090     #50AH优选                    2004-12-31  1000     50
0950092     #上证180优选                 2004-12-31  1000     180
0950102     #上证周期债                  2007-12-31  100      900
0950103     #智选科创半导体              2019-12-31  1000     30
0950196     #智选科创龙头策略            2019-12-31  1000     50
0950228     #智选科创价值50              2019-12-31  1000     50
0950260     #智选科创成长动量            2019-12-31  1000     50
